"","Ring_Inschrift","Fundtyp","Artbezeichnung deutsch","Ortsbezeichnung","Datum","Beobachter","Altersdefinition","Bemerkung","Geschlecht","date","year","month","day","Gewicht_num_min","Fluegellaenge_num_min","Teilfederlaenge_num_min"
"866","VC98375","Beringung","Bartmeise","Rietzer See","28.04.2001 06:00:00","Dürr, Tobias","Adult","F:62;FETT:0","männlich",2001-04-28,2001,4,28,16.5,62,4.5
"867","VD2850","Wiederfund","Bartmeise","Rietzer See","24.04.2003 11:00:00","Dürr, Tobias","Adult",NA,"männlich",2003-04-24,2003,4,24,15.5,62,4.5
"868","VD55383","Wiederfund","Bartmeise","Rietzer See","04.03.2005 14:00:00","Dürr, Tobias","Adult","EWF:1710","weiblich",2005-03-04,2005,3,4,13,58,4.4
"869","VD55383","Wiederfund","Bartmeise","Rietzer See","29.04.2005 17:00:00","Dürr, Tobias","Adult","EWF:1710","weiblich",2005-04-29,2005,4,29,13,58,4.4
"870","VD75672","Beringung","Bartmeise","Rietzer See","23.04.2004 18:00:00","Dürr, Tobias","Adult","F:62;FETT:2","männlich",2004-04-23,2004,4,23,16,62,4.4
"871","VC70357","Beringung","Seggenrohrsänger","Rietzer See","24.07.2000 05:00:00","Dürr, Tobias","Adult","F:63;FETT:0","weiblich",2000-07-24,2000,7,24,12,63,4.5
"872","VC70244","Beringung","Schilfrohrsänger","Rietzer See","20.04.2000 09:00:00","Dürr, Tobias","Adult","F:68;FETT:1","weiblich",2000-04-20,2000,4,20,10.5,68,4.9
"873","VD2672","Wiederfund","Bartmeise","Rietzer See","25.04.2003 19:00:00","Dürr, Tobias","Adult",NA,"männlich",2003-04-25,2003,4,25,18.5,62,4.5
"874","VC97955","Beringung","Bartmeise","Rietzer See","11.09.2000 08:00:00","Dürr, Tobias","Adult","F:63;FETT:1","weiblich",2000-09-11,2000,9,11,14.5,63,4.5
"875","VD75044","Beringung","Bartmeise","Rietzer See","20.06.2003 07:00:00","Dürr, Tobias","Adult","F:63;FETT:4","männlich",2003-06-20,2003,6,20,18,63,4.5
"876","VC70390","Beringung","Teichrohrsänger","Rietzer See","24.07.2000 06:00:00","Dürr, Tobias","Adult","F:63;FETT:1","weiblich",2000-07-24,2000,7,24,11,63,4.5
"877","VC70801","Beringung","Teichrohrsänger","Rietzer See","14.06.2000 15:00:00","Dürr, Tobias","Adult","F:63;FETT:0","weiblich",2000-06-14,2000,6,14,13,63,4.5
"878","VC70245","Beringung","Schilfrohrsänger","Rietzer See","20.04.2000 09:00:00","Dürr, Tobias","Adult","F:68;FETT:1","männlich",2000-04-20,2000,4,20,12,68,4.9
"879","VD55383","Wiederfund","Bartmeise","Rietzer See","30.04.2005 06:00:00","Dürr, Tobias","Adult","EWF:1710","weiblich",2005-04-30,2005,4,30,13,58,4.4
"880","VD75676","Wiederfund","Bartmeise","Rietzer See","16.05.2004 11:00:00","Dürr, Tobias","Adult","EWF:1710","männlich",2004-05-16,2004,5,16,17,62,4.5
"881","VD55383","Wiederfund","Bartmeise","Rietzer See","15.07.2005 21:00:00","Dürr, Tobias","Adult","EWF:1710","weiblich",2005-07-15,2005,7,15,13,58,4.4
